variable_code,variable_long_name,time_frequency,total_size_GB,number_of_downloads
rlds,Surface Downwelling Longwave Radiation,sem,56.43,5004
hurs,Near-Surface Relative Humidity,sem,54.46,4701
hfls,Surface Upward Latent Heat Flux,1hr,50.90,9
vas,Northward Near-Surface Wind,sem,48.46,4255
uas,Eastward Near-Surface Wind,sem,47.95,4209
hus50m,Specific Humidity,3hr,46.13,29
pr-fl,Precipitation,day,44.40,1717
sfcWindmax,Daily Maximum Near-Surface Wind Speed,sem,44.32,4401
zg500,Geopotential Height,sem,44.01,5264
psl,Sea Level Pressure,sem,43.71,5310
snw,Surface Snow Amount,sem,41.40,4694
prsn,Snowfall Flux,mon,39.35,1057
ts,Surface Temperature,mon,37.22,934
prc,Convective Precipitation,mon,36.71,875
ua400,Eastward Wind,day,33.48,60
ua600,Eastward Wind,day,33.19,59
ua300,Eastward Wind,day,32.85,59
ua100,Eastward Wind,day,32.10,52
snd,Snow Depth,mon,29.79,5649
ta100,Air Temperature,day,26.18,31
va300,Northward Wind,day,23.89,41
va600,Northward Wind,day,23.38,40
va400,Northward Wind,day,23.34,40
va100,Northward Wind,day,22.38,33
hfss,Surface Upward Sensible Heat Flux,sem,20.71,2003
hfls,Surface Upward Latent Heat Flux,sem,20.18,1984
tsmin,Daily Minimum Surface Temperature,day,20.01,275
va500,Northward Wind,sem,19.36,1867
hus850,Specific Humidity,sem,19.34,1994
snm,Surface Snow Melt,mon,19.08,3955
tsmax,Daily Maximum Surface Temperature,day,18.68,237
snc,Snow Area Fraction,sem,18.52,3419
orog,Surface Altitude,fx,17.93,9427
ua500,Eastward Wind,sem,17.79,1841
snownc,Accumulated total grid scale snow and ice,day,17.32,168
rsut,TOA Outgoing Shortwave Radiation,sem,16.39,1551
rlut,TOA Outgoing Longwave Radiation,sem,14.78,1639
rlus,Surface Upwelling Longwave Radiation,sem,14.67,1631
prAdjust,Bias-Adjusted Precipitation,mon,14.63,250
zg,Geopotential Height,mon,14.12,311
ta850,Air Temperature,sem,13.97,1903
rsdt,TOA Incident Shortwave Radiation,sem,13.65,1612
sftlf,Land Area Fraction,fx,13.56,7395
ta500,Air Temperature,sem,13.53,1915
zmla,Height of Boundary Layer,6hr,13.29,66
ta200,Air Temperature,sem,13.28,1930
hur500,Relative humidity,day,12.60,103
prw,Water Vapor Path,mon,12.43,203
hur850,Relative humidity,day,12.27,112
sfcWindmax,Daily Maximum Near-Surface Wind Speed,1hr,12.10,55
mrso,Total Soil Moisture Content,sem,12.09,1697
apet,Accumulated Morton areal potential evapotranspiration,day,11.97,475
hur200,Relative humidity,day,11.94,102
mrro,Total Runoff,sem,11.52,1670
mrfso,Soil Frozen Water Content,mon,10.57,1229
zg400,Geopotential Height,day,10.37,20
ta700,Air Temperature,mon,10.04,215
tasmax-bc,Daily Maximum Near-Surface Air Temperature,day,10.00,1664
zg300,Geopotential Height,day,9.99,21
clwvi,Condensed Water Path,6hr,9.90,213
tasmints,Daily Minimum Near-Surface Air Temperature,day,9.55,125
zg100,Geopotential Height,day,9.39,13
tasmaxts,Daily Maximum Near-Surface Air Temperature,day,9.30,119
hus700,Specific Humidity,mon,9.24,179
sic,Sea Ice Area Fraction,mon,9.00,1631
clivi,Ice Water Path,6hr,8.94,207
sund,Duration of Sunshine,sem,7.99,1480
tasmin-bc,Daily Minimum Near-Surface Air Temperature,day,7.86,1407
alb,Surface albedo,day,7.73,944
hufs,Upward moisture flux at the surface,day,7.22,58
ustar,Frictional velocity in similarity theory,day,6.97,58
prls,Precipitation large scale,day,6.96,62
sst,sea surface temperature,day,6.78,197
ta,Air Temperature,mon,6.65,206
pr-bc,Precipitation,day,6.31,3217
sic,Sea Ice Area Fraction,sem,5.95,1643
zg850,Geopotential Height,mon,5.65,115
va,Northward Wind,mon,5.64,101
aclwdnt,Accumulated downwelling LW flux at top,day,5.58,66
hus,Specific Humidity,mon,5.41,104
zmla,Height of Boundary Layer,mon,4.75,135
snd,Snow Depth,sem,4.69,1810
hus500,Specific Humidity,mon,4.62,91
clice200,Ice mixing ratio,day,4.51,59
clfr200,Cloud fraction,day,4.09,61
ua,Eastward Wind,mon,4.08,101
ta600,Air Temperature,mon,3.95,89
ta300,Air Temperature,mon,3.87,79
