variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
co2,Mole Fraction of CO2,mon,Amon,13110.07,45287
tauvo,Sea Water Surface Downward Y Stress,mon,Omon,13106.54,268353
fgco2,Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1],mon,Omon,13089.10,209273
tauuo,Sea Water Surface Downward X Stress,mon,Omon,13005.51,277532
expsi,Sinking Particulate Silicon Flux,mon,Emon,12889.48,3454
co3satarag,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,mon,Omon,12865.54,4112
rsd,Downwelling Shortwave Radiation,mon,CFmon,12826.66,17373
tntrl,Tendency of Air Temperature Due to Longwave Radiative Heating,mon,AERmon,12807.70,8472
ps,Surface Air Pressure,1hr,AERhr,12671.51,12295
ua,Eastward Wind,mon,Emon,12427.33,57941
dissicnat,Natural Dissolved Inorganic Carbon Concentration,mon,Omon,12195.85,5308
rldcs,Downwelling Clear-Sky Longwave Radiation,mon,CFmon,11875.48,11734
oh,OH Volume Mixing Ratio,mon,AERmon,11860.37,15657
prw,Water Vapor Path,3hr,E3hr,11834.19,14114
tnhusmp,Tendency of Specific Humidity Due to Model Physics,mon,CFmon,11759.44,7059
sithick,Sea Ice Thickness,day,SIday,11438.26,92656
va,Northward Wind,3hr,E3hrPt,11336.88,4933
rsut,TOA Outgoing Shortwave Radiation,day,CFday,11235.27,28442
tnhus,Tendency of Specific Humidity,mon,CFmon,11205.25,5665
tauu,Surface Downward Eastward Wind Stress,day,Eday,10799.69,41260
tauv,Surface Downward Northward Wind Stress,day,Eday,10756.31,40873
opottemptend,Tendency of Sea Water Potential Temperature Expressed as Heat Content,mon,Emon,10640.04,1794
mrsol,Total Water Content of Soil Layer,mon,Emon,10307.92,319580
cdnc,Cloud Liquid Droplet Number Concentration,mon,AERmon,10304.36,24017
o2,Dissolved Oxygen Concentration,yr,Oyr,10225.88,79436
